model,seed,utilization_mean,utilization_std,optimality_gap_mean,optimality_gap_std,actor_loss_mean,critic_loss_mean,gradient_variance_mean,gradient_variance_std,gradient_norm_mean,gradient_norm_std
TD WITHOUT EF,18,0.9177104377923879,0.05447143882432581,0.08948147899249563,0.06859672417823524,-0.030655980876778822,0.6914572150604484,3.207939357739396e-05,5.7727537290149686e-05,1.1547736537836943,1.8086507737946675
TD WITHOUT EF,20,0.9010202691685678,0.0610702576890302,0.11128394281436738,0.08239445583294315,-0.0327213676312017,0.829679709136602,6.114577894958556e-05,7.302202070382375e-05,1.405515025391383,2.823235367668347
TD WITHOUT EF,42,0.9070016953742334,0.059503345424580883,0.10347691339326381,0.07814873567895722,-0.03177557771938241,0.7717774841316297,3.979517240295228e-05,6.975187184292228e-05,1.094092824453884,2.2748143943020853
TD_EF,1,0.9189595557390529,0.05524601300283187,0.08827642903051466,0.06924347946832422,-0.17231080163508813,25.113871642398834,0.0004915640531572407,0.0017138573678288772,2.538691046132892,8.558858128059212
TD_EF,2,0.9200777495224349,0.055224749173452624,0.08689900955812689,0.06918639652624024,-0.1626789036972943,24.094796721076964,0.00021792758590380993,0.0007156966642150666,2.0382022875195953,5.51877635581137
TD_EF,3,0.919690856907102,0.05519745543055605,0.08746273177079035,0.06905298107723803,-0.15971962992518365,25.02439314956665,0.00017078599509221592,0.00043910420996328873,2.1514992764605094,4.551615147281571
TD_EF,4,0.9204415117988903,0.05515397620396824,0.08641820753949186,0.06907601669051915,-0.31566882410165564,25.871475480556487,0.0005206339607046038,0.0019701709088023444,2.568216340372432,8.874703935837154
TD_EF,5,0.9203117434879776,0.054935304446987146,0.08646118379759483,0.0689278753778552,-0.1500307313932739,25.585961598348618,0.00035349194075214767,0.0011328063788866864,2.333124075390905,7.116196275430726
TD_EF,7,0.9203037096501792,0.05505435449319081,0.08661933714508169,0.06894604751078572,-0.16998781499717733,25.12841952176094,0.00015284330336234276,0.0003497919274349944,2.0114317701936,4.555554068647573
TD_EF,8,0.9215852761696905,0.05523573914055568,0.08499856232401803,0.06910285166778635,-0.15017159294679017,24.568588548755645,0.00037028150245995556,0.0016411846863832729,2.135565343029192,7.396617859699321
TD_EF,9,0.9201003730876766,0.05494013125032659,0.08675995708811526,0.06883863981034631,-0.16313389650052704,25.88386263856888,0.0002487933059923231,0.0008904637828389018,2.2487428354285193,5.881511988277907
TD_EF,10,0.9199154521033106,0.05489643690566586,0.08691926111907398,0.06893736636910376,-0.1508866313913837,26.882261098480225,0.00038446183580271003,0.0012509246009633672,2.5918803254994565,7.494972760278635
TD_EF,11,0.9197428904168142,0.054996453281524776,0.08717853427083316,0.06897027584195499,-0.17549448211471316,24.991027801179886,0.00019241048180137363,0.0007446472604931424,1.9045099604580085,5.012536772779037
TD_EF,12,0.9199675684680167,0.054934371750386506,0.08688300550107596,0.06898143374201522,-0.18455234190849878,25.88771738090515,0.00021998411269977378,0.00048468533232154365,2.3774621564158354,5.529111660803685
TD_EF,13,0.9204485601144597,0.05531698897659687,0.08638522772258642,0.06929650352765215,-0.16811715877224123,25.23456159090996,0.0001900334363346614,0.0006240764942738901,2.1149554241018254,5.230781695081506
TD_EF,14,0.9198240388391857,0.054927147589586486,0.087229826719885,0.06869893067487229,-0.17687746603144477,24.844070186948777,0.00044238836590128366,0.0017270360122233009,2.409588756026828,8.07650032008699
TD_EF,15,0.9209468246735182,0.05505361832158124,0.08569847185132493,0.06892429050343023,-0.18264731503482326,24.05636463932991,0.0001560690899663258,0.0005109618577693747,1.919776598000014,4.686080277238239
TD_EF,16,0.9197348719383596,0.05491563215347256,0.08724953567515147,0.06885927651811048,-0.18562030196398263,24.388053574466706,0.00012085878995757547,0.00029118479458495165,2.072637368470116,3.8957858555014093
TD_EF,18,0.9208391484030278,0.055098159393112675,0.08585291013548384,0.06902042355807049,-0.16984740981809246,24.456352979421617,0.00035232402253440197,0.001361790996205588,2.31786756469885,7.268346236308641
